,start,end,rf,total_return,cagr,max_drawdown,calmar,mtd,three_month,six_month,ytd,one_year,three_year,five_year,ten_year,incep,daily_sharpe,daily_sortino,daily_mean,daily_vol,daily_skew,daily_kurt,best_day,worst_day,monthly_sharpe,monthly_sortino,monthly_mean,monthly_vol,monthly_skew,monthly_kurt,best_month,worst_month,yearly_sharpe,yearly_sortino,yearly_mean,yearly_vol,yearly_skew,yearly_kurt,best_year,worst_year,avg_drawdown,avg_drawdown_days,avg_up_month,avg_down_month,win_year_perc,twelve_month_win_perc
avgo,2020-01-02,2020-12-31,0.0,0.4201740610187956,0.42188583310678673,-0.4829996684738015,0.8734702333023865,0.09960855531008828,0.2120683918452062,0.4118900320382197,0.4201740610187956,,,,,0.42188583310678673,0.9463752112741797,1.4186751316440043,0.48523921909224454,0.5127344982323964,-0.9279394944672503,10.616747467679723,0.1583366544158522,-0.19912902655814535,1.5389012015860821,3.2120706661140153,0.49855740124337455,0.32396972640578353,-0.7226117706354171,-0.7752589230998117,0.14858555127841155,-0.11550793940354898,,,,,,,,,-0.06354568592616198,21.333333333333332,0.08993418604992265,-0.08748751241987374,,
cdns,2020-01-02,2020-12-31,0.0,0.9097142779030358,0.9139617712299237,-0.3211696829091163,2.845728659540241,0.17308675060880985,0.27947103244821725,0.4217381614987643,0.9097142779030358,,,,,0.9139617712299237,1.6316908102185712,2.730225197675196,0.7541402073056823,0.46218327797327147,-0.0029684020261343392,3.9602274849176453,0.13390618439861224,-0.12598051213057826,2.334255735794619,8.322331985894149,0.7612673320399954,0.3261285044163541,0.26996704614044337,-0.6101210197289433,0.22849782145206876,-0.08279019789449449,,,,,,,,,-0.046843761685640306,12.25,0.10259005137932531,-0.04096400777709108,,
chtr,2020-01-02,2020-12-31,0.0,0.34891829144371544,0.35030545784139644,-0.31478819239924094,1.1128290904797011,0.014662798051787718,0.059598871347253723,0.29705508726714447,0.34891829144371544,,,,,0.35030545784139644,1.0305727027895821,1.6393727629772206,0.36131094310597467,0.35059238627994743,-0.583947926418901,9.290855065842386,0.09853841279656783,-0.1432880881129468,1.0622091958225355,2.346389904112579,0.3089167114687999,0.290824738369532,-0.165701609172675,-1.1005389054119004,0.13716569344170648,-0.11529495776505172,,,,,,,,,-0.03663620134684724,12.565217391304348,0.07724323468594751,-0.06438224765547484,,
ctas,2020-01-02,2020-12-31,0.0,0.3190149061850982,0.3202696773358362,-0.4837967259648469,0.6619922379530682,-0.005178634462540965,0.07314865221262168,0.3409524390285217,0.3190149061850982,,,,,0.3202696773358362,0.7950005333390349,1.2361794579715006,0.41382579256505847,0.5205352389223856,-0.4777134872527078,6.523900260834871,0.14658850846715987,-0.16860991284534022,0.7718889763965058,1.1929743409786582,0.43146431857419343,0.5589719917862355,-1.2067145592563566,2.947555357275644,0.2806256133924723,-0.3506035005587115,,,,,,,,,-0.0587110886636953,21.866666666666667,0.14188070582439782,-0.09115505525067527,,
csco,2020-01-02,2020-12-31,0.0,-0.0510098296727417,-0.05118043976377873,-0.3350690858350419,-0.15274593189111874,0.04021388136927806,0.14655399205372954,-0.024045289648587986,-0.0510098296727417,,,,,-0.05118043976377873,0.08445811389572763,0.13275086883054849,0.0354181118772009,0.4193571256034472,0.04566596200108687,6.603021174234245,0.133735013209191,-0.11185029780527456,0.1554901687541138,0.3284559684445896,0.055216000222507014,0.3551092693829632,0.5681873666759626,-0.42803194709709436,0.1983286872736829,-0.1313900373049829,,,,,,,,,-0.10749566745920969,89.75,0.09460830065636991,-0.07040447273520302,,
ctsh,2020-01-02,2020-12-31,0.0,0.34142945783259004,0.34278325129745135,-0.41554287914828225,0.8249046452198562,0.04889289295624777,0.18387816650130184,0.45117926404761843,0.34142945783259004,,,,,0.34278325129745135,0.8500556007115266,1.426127304933674,0.4098256268158249,0.4821162597749917,0.08371349349412813,7.622647440988056,0.1496098120170679,-0.17179767478828922,0.9468949221303656,1.7054747167698294,0.4295165571038423,0.45360530198799365,-0.4204267224538118,1.200685059102332,0.24854727796415887,-0.2373214573533523,,,,,,,,,-0.058603436599442726,27.833333333333332,0.10515630687331089,-0.08559265935866353,,
cmcsa,2020-01-02,2020-12-31,0.0,0.18084111168091077,0.18151536889058706,-0.3130215944349395,0.5798812993022258,0.0429936785755638,0.13844398564126603,0.3510625121591666,0.18084111168091077,,,,,0.18151536889058706,0.6241733763320848,1.0514898602121983,0.2388752906712729,0.3827066320499096,0.3622881496921636,4.554286315639798,0.12564388390591086,-0.08365097367952512,0.8611243583196398,1.6652562568003062,0.2798103510860384,0.32493605410494714,-0.17259715189319583,0.06694342328132574,0.18939388715789796,-0.14409445724986059,,,,,,,,,-0.06656194634724322,57.166666666666664,0.07951306297122744,-0.07502465474243089,,
cprt,2020-01-02,2020-12-31,0.0,0.3612536952327956,0.36269614491531676,-0.4375119734038576,0.8289970719967473,0.10220877751125368,0.21006081750309002,0.5281614642720855,0.3612536952327956,,,,,0.36269614491531676,0.9232309286655593,1.4693942431855291,0.4040229935867138,0.4376185643722853,0.1109996473856252,9.054661832243543,0.1735284925053333,-0.1405914650410972,0.7986204466814488,1.3263685967699774,0.3312823278735935,0.41481823969094334,-0.9389338461131467,-0.3010541724040148,0.16914776029046918,-0.188920526511287,,,,,,,,,-0.04432836160220273,18.88235294117647,0.09105207650777344,-0.14158038161490893,,
cost,2020-01-02,2020-12-31,0.0,0.3377231448074436,0.339060474907215,-0.1364785531812316,2.484349863065828,-0.013070611410101796,0.09124600763036672,0.2803852473508941,0.3377231448074436,,,,,0.339060474907215,1.1413226045379403,2.05162761968302,0.33307918527417635,0.291836141639394,0.9336631453327031,6.8970982397651195,0.09959476395494571,-0.06315543297909032,1.6253778269034032,3.492039996756279,0.28275223583423786,0.1739609284402044,-0.47123444686270083,0.20152494531382814,0.09549233607393837,-0.07785816506913457,,,,,,,,,-0.028426448319158193,16.38888888888889,0.04589628553500913,-0.03599357825511832,,
crwd,2020-01-02,2020-12-31,0.0,3.28438538041923,3.305845826408966,-0.5001514557251939,6.609689502184212,0.3819155076404446,0.542528371878849,1.112075036300292,3.28438538041923,,,,,3.305845826408966,2.5529210573719454,4.6478107642993605,1.6712813246994784,0.6546545259883384,0.16627094795424063,3.3380044693343027,0.17417336729090072,-0.1653603297518903,2.9660232684505226,13.23474524147658,1.5469483076647434,0.5215563627297108,0.006211303289297687,-0.682510280943569,0.3819155076404446,-0.09816494514525631,,,,,,,,,-0.06613288949625463,10.481481481481481,0.2007918442740195,-0.06276626849982485,,
csx,2020-01-02,2020-12-31,0.0,0.2564471235127823,0.25743250900551895,-0.4055300090005537,0.6348050780260936,0.007773412271017355,0.17170751810144647,0.3094084321150019,0.2564471235127823,,,,,0.25743250900551895,0.7265990249033376,1.161918670224043,0.33424812628414313,0.46001730642097893,-0.056157313689331315,8.868293700609023,0.16449850281138945,-0.15550571465915364,0.7644826129386739,1.2860583415947822,0.2579260510718119,0.33738641887530074,-0.7045594481921286,1.0092703268806025,0.15584650134045108,-0.18665718349928873,,,,,,,,,-0.046448956005062464,22.533333333333335,0.06534406355806588,-0.09544009832734428,,
